timestamp,idle_timeout_sec,max_attempts
2026-08-01 19:59:13,60,3
2026-08-02 01:09:07,60,1
2026-08-03 14:30:08,60,1
2026-08-03 15:13:24,60,1
2026-08-03 15:13:30,60,1
2026-08-03 15:13:40,60,1
2026-08-03 15:14:01,60,2
2026-08-03 15:14:50,60,2
2026-08-03 15:16:21,60,2
2026-08-03 15:16:22,60,2
2026-08-03 15:23:32,60,2
2026-08-03 15:23:34,60,2
2026-08-03 15:23:36,60,2
2026-08-03 15:23:39,60,2
2026-08-03 15:23:45,60,2
2026-08-03 15:23:46,60,2
2026-08-03 15:28:39,60,2
2026-08-03 15:28:44,60,2
2026-08-03 15:36:02,60,2
2026-08-03 15:36:07,60,2
2026-08-03 15:36:10,60,2
2026-08-03 15:38:08,60,2
2026-08-03 15:38:22,60,2
2026-08-03 15:41:35,60,2
2026-08-03 15:42:07,60,2
2026-08-03 15:42:15,60,2
2026-08-03 15:45:15,60,2
2026-08-03 15:45:18,60,2
2026-08-03 15:49:17,60,2
2026-08-03 15:49:22,60,2
2026-08-03 15:49:33,60,2
2026-08-03 15:52:08,60,2
2026-08-03 15:52:12,60,2
2026-08-03 15:53:32,60,2
2026-08-03 15:54:24,60,2
2026-08-03 15:54:41,60,2
2026-08-03 15:54:44,60,2
2026-08-03 15:54:45,60,2
2026-08-03 15:54:49,60,2
2026-08-03 15:54:54,60,2
2026-08-03 15:55:06,60,2
2026-08-03 15:56:16,60,2
2026-08-03 15:56:18,60,2
2026-08-03 15:56:23,60,2
2026-08-03 15:56:38,60,2
2026-08-03 15:56:44,60,2
2026-08-03 15:56:54,60,2
2026-08-03 15:56:59,60,2
2026-08-03 15:58:18,60,2
